time has : 
FNT,13857,4108,0.296456664502
GPT,13619,4193,0.307878698877
SBP,13572,3427,0.252505157678
BTV,13366,4592,0.343558282209
HPN,13306,4390,0.329926349015
VPS,12633,4002,0.316789361197
EUG,12422,2986,0.240379971019
MLI,12258,4089,0.333578071464
MFR,12206,4025,0.329755857775
FSD,12077,3185,0.263724434876
PHF,11900,3816,0.320672268908
HRL,11516,2588,0.224730809309
BFL,11247,2786,0.247710500578
MOB,10901,3266,0.299605540776
LFT,10442,2981,0.285481708485
ABE,10005,2642,0.264067966017
GRK,10003,2659,0.265820253924
FWA,9701,2917,0.300690650448
RAP,9664,2113,0.218646523179
FAI,9639,2625,0.272331154684
MFE,9600,2621,0.273020833333
FAR,9529,2234,0.234442228985
LAN,9450,2439,0.258095238095
BZN,9437,2303,0.244039419307
BIL,9259,1900,0.205205745761
GJT,9247,1928,0.208500054072
CHA,9148,2303,0.251749016178
AZO,9146,2066,0.225891099934
PIA,8872,2810,0.316726780884
BMI,8692,3139,0.361136677405
JNU,8612,2479,0.28785415699
BGR,8387,2821,0.336353881006
ATW,8140,2510,0.308353808354
ROA,8063,2632,0.326429368721
CRW,8027,2192,0.273078360533
MSO,8024,1665,0.207502492522
DRO,8020,1714,0.213715710723
EVV,7644,2265,0.296310832025
RDM,7365,1792,0.243312966735
TVC,7352,2250,0.306039173014
JAC,7281,2022,0.277709105892
ACV,7037,2564,0.36435981242
TOL,7032,1727,0.245591581342
DAB,7030,2372,0.337411095306
SGU,6872,1151,0.167491268917
ASE,6855,2163,0.315536105033
GTF,6833,1084,0.15864188497
ILM,6714,2167,0.322758415252
YUM,6517,2154,0.330520177996
MGM,6384,2119,0.331923558897
CPR,6339,1214,0.191512856917
CMI,6314,1910,0.302502375673
TLH,6269,1853,0.295581432445
AVL,5993,2009,0.3352244285
MBS,5910,1607,0.271912013536
SUN,5885,778,0.132200509771
STT,5853,1265,0.216128481121
EGE,5839,1622,0.277787292345
LNK,5629,1771,0.314620714159
ABI,5562,1284,0.230852211435
CLD,5523,1599,0.289516567083
IDA,5442,882,0.162072767365
AEX,5417,1619,0.298873915451
LRD,5401,1247,0.230883169783
MTJ,5309,1146,0.215859860614
FCA,5185,1093,0.210800385728
PFN,5021,2063,0.410874327823
AVP,5009,1609,0.321221800759
RST,4877,1435,0.294238261226
HDN,4864,1294,0.266036184211
ACT,4756,735,0.154541631623
KTN,4662,1372,0.294294294294
BIS,4637,993,0.214147077852
SPS,4620,763,0.165151515152
PSC,4592,835,0.181837979094
BRO,4532,1152,0.254192409532
MLU,4467,1546,0.346093575106
MOD,4451,1971,0.442821837789
AGS,4427,1607,0.362999774113
MLB,4389,1423,0.324219640009
LAW,4196,767,0.18279313632
TWF,4179,641,0.153385977507
RDD,3955,1536,0.388369152971
CHO,3914,839,0.214358712315
GNV,3805,1588,0.417345597898
PIH,3606,302,0.083749306711
SJT,3490,860,0.246418338109
FSM,3486,984,0.282271944923
SMX,3437,866,0.251963922025
CLL,3415,630,0.184480234261
EKO,3399,352,0.10355987055
TYR,3367,531,0.157707157707
FLG,3297,626,0.189869578405
DHN,3276,1267,0.386752136752
SPI,3264,871,0.266850490196
LSE,3252,885,0.272140221402
HLN,3245,515,0.158705701079
FAY,3146,1497,0.475842339479
OXR,3113,691,0.221972373916
TRI,2801,837,0.29882184934
LCH,2695,673,0.249721706865
DBQ,2691,824,0.306205871423
ABY,2630,864,0.328517110266
SBN,2624,790,0.301067073171
COD,2621,406,0.15490270889
BQN,2607,601,0.2305331799
SIT,2574,663,0.257575757576
CSG,2526,782,0.309580364212
CIC,2464,1012,0.410714285714
GUC,2396,564,0.235392320534
CWA,2326,727,0.312553740327
IPL,2323,977,0.420576840293
VLD,2205,774,0.351020408163
BET,2193,628,0.286365709074
MOT,2162,396,0.18316373728
SWF,2153,771,0.35810496981
TXK,2130,510,0.239436619718
GGG,2128,424,0.199248120301
MCN,2095,749,0.357517899761
EYW,2063,874,0.423654871546
OME,2060,622,0.301941747573
OTZ,2040,693,0.339705882353
LYH,2019,631,0.312530955919
SCE,1991,272,0.136614766449
DLH,1978,394,0.199191102123
BQK,1961,681,0.347271800102
IYK,1925,388,0.201558441558
CEC,1917,708,0.369327073552
MEI,1877,690,0.367607884923
MQT,1854,608,0.327939590076
ERI,1762,270,0.153234960272
GTR,1681,583,0.346817370613
GFK,1607,334,0.207840696951
BTM,1550,209,0.134838709677
APF,1507,442,0.293297942933
ACY,1489,349,0.23438549362
LWS,1449,252,0.173913043478
FLO,1429,472,0.330300909727
CDV,1419,319,0.22480620155
TUP,1409,370,0.262597586941
YAK,1391,314,0.225736879942
WRG,1391,412,0.296189791517
PSG,1391,481,0.345794392523
ISO,1380,529,0.383333333333
BGM,1321,279,0.211203633611
BRW,1298,356,0.274268104777
HTS,1259,131,0.104050833995
